dataset,model,train_loss,test_acc
Mutagenicity,GIN,0.4263999564658611,0.8029953917050692
Mutagenicity,GCN,0.4722224006412226,0.783410138248848
Mutagenicity,GAT,0.4488348025794423,0.771889400921659
DHFR,GIN,0.5379967030725981,0.6710526315789473
DHFR,GCN,0.6004632962377447,0.6052631578947368
DHFR,GAT,0.5677242859413749,0.6973684210526315
NCI1,GIN,0.5162607839385283,0.7433090024330901
NCI1,GCN,0.5744333047311283,0.6922141119221411
NCI1,GAT,0.5568588335537216,0.7043795620437956
NCI109,GIN,0.5473060908798988,0.6949152542372882
NCI109,GCN,0.5850447714328766,0.6779661016949152
NCI109,GAT,0.5810921507386061,0.7058111380145279
IMDB-BINARY,GIN,0.5640619611740112,0.715
IMDB-BINARY,GCN,0.6932740783691407,0.495
IMDB-BINARY,GAT,0.6930870914459228,0.475
IMDB-MULTI,GIN,1.0128493152166669,0.44666666666666666
IMDB-MULTI,GCN,1.0985423797055294,0.32
IMDB-MULTI,GAT,1.0983544337122064,0.29
