number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,610,44.52,46.72,43.26,45.54,66
1,1078,44.12,46.18,42.65,44.89,73
2,697,43.56,45.57,41.5,43.66,72
3,574,43.28,45.32,41.67,43.92,71
4,518,43.67,45.63,40.62,42.77,72
5,374,41.84,43.83,40.83,43.09,70
6,356,43.06,45.03,40.62,42.78,71
7,177,42.71,44.8,41.03,43.24,69
8,203,42.35,44.24,39.7,41.97,71
9,109,42.5,44.53,38.48,40.62,70
10,106,41.78,43.55,39.39,41.48,74
11,54,41.98,43.91,41.61,43.83,71
12,60,42.65,44.43,41.98,44.13,75
13,17,42.35,44.24,42.0,44.29,72
14,28,44.07,46.04,39.89,41.86,77
15,15,44.2,46.4,44.6,47.0,80
16,10,48.4,50.0,37.1,39.3,84
17,5,44.8,47.0,46.4,48.6,82
18,4,47.75,49.5,41.25,43.25,90
19,1,43.0,45.0,53.0,56.0,73
20,1,23.0,24.0,46.0,48.0,72
21,1,30.0,31.0,50.0,52.0,79
22,1,50.0,52.0,34.0,36.0,85
24,1,51.0,53.0,35.0,37.0,84
