dataset,model,train_loss,test_acc
Mutagenicity,GIN,0.09163459288298127,0.8352534562211982
Mutagenicity,GCN,0.2814489177881031,0.7914746543778802
Mutagenicity,GAT,0.242877439142914,0.7995391705069125
DHFR,GIN,0.2990739612202895,0.7828947368421053
DHFR,GCN,0.4511054393492247,0.7697368421052632
DHFR,GAT,0.33119146761141327,0.8486842105263158
NCI1,GIN,0.08582791262894,0.7846715328467153
NCI1,GCN,0.3752479687767121,0.7408759124087592
NCI1,GAT,0.30422396437057014,0.7798053527980535
NCI109,GIN,0.1124561197625903,0.7699757869249395
NCI109,GCN,0.3955158141370003,0.7276029055690073
NCI109,GAT,0.31402880139648914,0.7397094430992736
IMDB-BINARY,GIN,0.5319038093090057,0.7
IMDB-BINARY,GCN,0.6510124325752258,0.625
IMDB-BINARY,GAT,0.6931519150733948,0.475
IMDB-MULTI,GIN,0.9753753338989458,0.4633333333333333
IMDB-MULTI,GCN,1.0904785143701654,0.39666666666666667
IMDB-MULTI,GAT,1.0987837691056102,0.3233333333333333
