number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,388,39.11,41.04,37.23,39.45,58
1,391,41.43,43.37,40.43,42.66,68
2,427,40.98,42.99,40.06,42.21,66
3,476,43.1,45.13,41.33,43.57,70
4,478,44.03,46.05,41.69,43.92,70
5,508,43.66,45.69,41.8,44.02,71
6,425,44.56,46.62,42.75,44.96,72
7,439,43.71,45.73,42.52,44.71,73
8,319,43.79,45.8,43.02,45.22,74
9,268,44.79,46.85,42.75,44.99,75
10,232,45.19,47.31,41.5,43.72,76
11,188,44.94,47.04,43.92,46.16,77
12,137,46.59,48.66,42.07,44.19,80
13,98,47.38,49.39,44.64,46.85,83
14,68,43.51,45.46,45.38,47.6,80
15,50,48.2,50.32,42.12,44.48,80
16,33,45.7,47.7,42.21,44.58,81
17,29,48.14,50.45,41.62,43.79,84
18,22,46.0,48.18,43.32,45.55,90
19,9,53.11,55.22,38.56,40.67,88
20,4,57.0,59.75,34.0,35.5,98
21,4,57.5,60.5,34.75,37.25,98
22,2,60.0,64.0,49.5,51.5,104
23,2,53.5,56.0,45.0,48.5,86
24,2,51.0,53.0,47.0,50.0,92
25,1,59.0,61.0,37.0,39.0,96
