number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,771,29.85,31.16,30.12,31.92,69
1,563,29.83,30.1,29.92,30.93,74
2,461,28.35,28.51,27.79,28.44,67
3,521,29.72,29.89,28.84,29.47,71
4,432,27.89,27.97,26.95,27.64,65
5,443,30.33,30.78,27.93,28.57,71
6,325,30.81,31.52,30.16,29.88,75
7,347,29.74,30.03,30.94,31.44,75
8,212,30.62,30.81,32.5,32.54,77
9,213,30.78,31.19,31.73,32.32,78
10,169,32.85,32.95,32.84,32.52,82
11,142,32.85,33.54,29.23,29.39,79
12,95,35.23,35.55,32.52,33.48,87
13,91,33.65,33.8,33.0,33.42,89
14,54,29.85,30.59,35.41,36.17,84
15,43,36.05,35.47,37.21,36.86,99
16,34,39.18,39.26,31.82,33.0,95
17,26,32.77,33.46,38.12,39.08,98
18,15,37.0,38.33,37.67,38.67,99
19,9,41.56,43.89,40.89,36.67,100
20,7,61.0,47.57,35.43,35.86,142
21,3,47.33,47.67,42.33,44.33,125
22,9,57.33,51.67,49.22,41.56,152
23,5,66.0,52.0,53.8,53.0,177
24,3,51.0,51.33,33.33,33.33,110
25,3,20.67,21.0,45.0,46.67,95
26,1,18.0,18.0,86.0,91.0,175
29,1,48.0,50.0,28.0,30.0,98
30,1,35.0,36.0,76.0,78.0,153
31,1,64.0,67.0,25.0,27.0,127
