number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,3,34.0,35.33,41.67,44.33,67
1,4,33.0,34.25,43.0,45.25,56
2,4,37.75,39.5,36.25,38.75,62
3,4,31.25,32.25,34.25,36.25,50
4,5,35.0,36.4,44.2,46.2,69
5,6,33.33,34.67,42.0,44.0,64
6,8,35.0,36.38,38.25,40.25,57
7,7,33.29,34.43,43.29,45.71,70
8,4,31.0,32.25,41.25,43.75,66
9,6,31.83,33.0,40.33,42.67,68
10,6,33.33,34.67,38.5,40.5,56
11,3,36.67,38.33,51.33,53.33,82
12,4,31.75,33.0,47.25,49.5,71
13,2,30.0,31.0,43.5,45.5,68
14,4,28.5,29.5,46.75,48.75,74
15,3,36.67,38.33,53.33,55.67,79
20,1,30.0,31.0,68.0,71.0,127
25,1,30.0,31.0,55.0,57.0,96
