number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,34,31.29,32.5,30.88,32.44,68
1,45,31.84,33.07,31.8,33.36,76
2,52,28.0,28.98,24.73,25.63,58
3,61,28.92,29.69,27.69,28.72,65
4,76,28.89,29.54,30.13,28.91,70
5,75,31.45,31.71,28.89,29.76,76
6,47,29.0,29.94,28.13,29.04,68
7,50,27.86,28.78,32.26,33.54,76
8,41,30.61,31.63,33.41,34.88,78
9,40,27.52,28.15,30.55,30.52,72
10,28,33.46,34.21,31.43,32.82,83
11,25,43.32,33.88,30.68,32.08,95
12,24,36.0,37.75,34.5,35.42,81
13,20,32.3,33.1,29.6,30.65,80
14,14,36.79,38.43,31.79,32.21,101
15,11,31.0,31.73,32.45,34.0,86
16,5,41.2,43.0,40.0,41.2,100
17,4,26.0,27.0,45.5,40.25,106
18,4,25.25,26.25,31.5,33.25,72
19,3,28.0,28.33,36.33,37.67,92
21,1,14.0,13.0,66.0,67.0,129
23,1,25.0,26.0,16.0,16.0,50
24,1,48.0,51.0,27.0,29.0,95
26,1,20.0,21.0,59.0,62.0,121
32,1,29.0,28.0,73.0,74.0,136
