dataset,model,train_loss,test_acc
Mutagenicity,GIN,0.3482637524331382,0.8271889400921659
Mutagenicity,GCN,0.409411838158555,0.7914746543778802
Mutagenicity,GAT,0.5138990810704888,0.7442396313364056
DHFR,GIN,0.4252545284597497,0.7236842105263158
DHFR,GCN,0.52011880592296,0.7236842105263158
DHFR,GAT,0.6193591387648332,0.6118421052631579
NCI1,GIN,0.44310967248041655,0.7858880778588808
NCI1,GCN,0.5003454968767259,0.718978102189781
NCI1,GAT,0.6043296734106194,0.6386861313868614
NCI109,GIN,0.43663300889042705,0.7663438256658596
NCI109,GCN,0.5169306769967079,0.7191283292978208
NCI109,GAT,0.6146440291060851,0.5326876513317191
IMDB-BINARY,GIN,0.6931312823295593,0.48
IMDB-BINARY,GCN,0.6784211683273316,0.665
IMDB-BINARY,GAT,0.66525306224823,0.46
IMDB-MULTI,GIN,1.098588306652872,0.32
IMDB-MULTI,GCN,1.0737608828042682,0.35333333333333333
IMDB-MULTI,GAT,1.0986271469216597,0.3233333333333333
