number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,442,34.68,35.01,32.54,33.66,77
1,507,33.39,34.08,31.85,32.54,80
2,464,28.26,29.18,28.71,29.26,67
3,536,30.36,30.66,29.48,30.26,72
4,488,30.0,29.77,27.63,28.41,69
5,510,28.88,28.95,28.41,29.17,70
6,395,28.16,29.02,28.77,29.59,69
7,382,28.53,29.19,28.67,29.35,70
8,293,30.15,30.66,29.5,29.96,74
9,269,29.59,30.65,27.88,28.74,71
10,182,28.4,29.29,31.44,31.53,75
11,151,25.81,26.53,31.59,32.5,75
12,102,31.34,32.29,31.51,32.37,79
13,75,31.95,31.83,35.67,34.57,89
14,54,33.19,34.44,32.04,33.19,85
15,41,33.32,31.98,34.56,35.05,90
16,41,32.61,33.73,36.15,37.49,91
17,17,34.29,35.0,47.24,44.53,111
18,11,70.91,52.64,37.82,35.0,159
19,12,55.33,34.5,38.17,40.0,124
20,9,38.56,40.22,41.89,42.89,112
21,3,38.33,38.67,18.33,18.33,85
22,1,58.0,60.0,12.0,12.0,107
23,5,39.8,40.4,43.0,44.4,122
24,3,26.67,27.67,37.67,38.67,90
25,3,17.33,17.33,56.33,58.67,112
26,2,15.0,14.5,51.5,54.5,105
28,1,20.0,21.0,59.0,62.0,121
29,1,14.0,13.0,70.0,72.0,140
