number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,241,37.51,36.41,30.76,31.19,83
1,395,30.75,31.25,30.26,30.47,76
2,423,28.95,28.81,26.86,27.51,67
3,559,29.47,29.98,27.86,28.56,71
4,491,28.27,29.07,28.16,29.05,67
5,560,28.78,29.36,27.79,28.56,69
6,505,28.09,28.72,28.58,29.14,68
7,437,29.54,30.43,30.07,30.89,74
8,363,30.25,31.29,30.92,31.93,74
9,277,30.66,31.62,33.81,34.64,81
10,223,33.69,34.0,32.38,33.56,82
11,151,29.84,30.89,32.29,33.58,76
12,119,32.2,32.88,31.31,32.65,76
13,80,38.42,34.8,34.9,36.34,91
14,78,39.14,35.76,40.78,39.72,100
15,31,31.97,33.48,33.77,34.74,85
16,24,36.79,34.88,35.83,37.29,92
17,13,43.23,44.23,59.46,50.0,136
18,14,41.14,43.07,52.14,54.29,121
19,6,21.67,22.33,56.17,58.17,110
20,3,32.33,33.33,43.0,46.33,91
21,4,34.5,36.25,79.0,56.75,152
22,2,31.5,31.0,32.5,35.0,76
23,1,30.0,32.0,38.0,39.0,77
