number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,100,25.59,27.39,23.54,24.87,62
1,161,28.42,30.37,29.67,31.77,74
2,260,27.79,29.81,26.04,27.89,68
3,307,24.79,26.52,33.18,35.76,75
4,382,26.84,29.01,28.52,30.68,69
5,400,25.22,27.21,30.86,33.4,70
6,416,28.07,30.4,27.95,30.15,69
7,421,26.52,28.54,30.45,33.03,71
8,400,29.22,31.73,29.05,31.42,71
9,409,27.0,29.34,31.85,34.61,74
10,361,28.55,31.11,31.09,33.73,74
11,336,27.77,30.2,33.43,36.26,78
12,242,28.9,31.5,30.62,33.03,73
13,209,29.12,31.66,36.34,39.47,85
14,137,31.73,34.48,33.8,37.02,83
15,112,27.58,30.11,37.09,40.6,84
16,98,33.74,36.79,37.55,40.83,92
17,70,30.41,33.51,37.8,41.01,88
18,51,34.84,37.94,37.45,41.02,93
19,40,32.4,35.4,38.05,41.25,91
20,25,33.48,36.36,42.88,47.4,103
21,18,36.61,40.33,43.17,47.28,107
22,7,41.86,45.86,37.57,40.14,109
23,12,29.08,32.17,43.25,47.42,90
24,7,35.29,37.29,59.14,63.43,132
25,6,29.5,32.83,63.33,70.33,133
26,3,38.67,41.67,57.0,62.67,145
27,4,26.5,28.5,73.0,78.75,147
28,1,67.0,70.0,40.0,45.0,132
29,1,18.0,19.0,43.0,48.0,95
30,1,22.0,25.0,66.0,74.0,136
31,1,17.0,19.0,66.0,78.0,138
32,1,35.0,39.0,81.0,88.0,167
34,1,79.0,83.0,74.0,77.0,132
