number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,469,40.47,42.36,39.26,41.47,62
1,451,42.9,44.88,40.68,42.94,69
2,533,42.51,44.54,40.73,42.95,67
3,526,41.95,43.97,41.74,43.97,70
4,456,43.03,45.05,41.34,43.51,69
5,512,43.73,45.75,41.76,44.0,72
6,430,43.23,45.23,41.51,43.73,72
7,386,43.83,45.89,41.91,44.09,73
8,289,45.15,47.2,41.95,44.13,74
9,263,44.94,47.0,42.87,45.05,75
10,176,45.55,47.6,42.63,44.86,76
11,167,45.95,48.12,43.26,45.49,79
12,112,46.29,48.45,44.4,46.62,81
13,67,46.45,48.61,44.3,46.61,81
14,53,45.91,47.96,44.26,46.6,80
15,27,49.22,51.3,45.26,47.63,85
16,31,47.42,49.52,43.23,45.29,83
17,26,48.35,50.62,41.62,43.62,83
18,6,54.33,56.83,49.67,52.0,92
19,6,48.67,50.67,45.33,47.5,84
20,5,55.8,58.0,46.0,48.8,90
21,5,47.4,49.4,38.0,39.8,81
22,1,59.0,61.0,44.0,45.0,95
23,1,49.0,53.0,45.0,49.0,71
24,1,61.0,63.0,52.0,54.0,104
25,1,63.0,65.0,41.0,44.0,107
