number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,1545,19.89,96.78,19.22,102.97,115
1,1028,19.63,100.34,19.55,93.5,127
2,190,21.62,90.62,18.49,80.91,123
3,494,19.01,86.91,20.09,93.14,116
4,123,22.19,91.33,19.78,87.54,134
5,237,19.82,92.83,20.28,100.24,128
6,60,22.72,110.48,22.0,99.48,161
7,105,19.49,92.9,18.3,89.89,128
8,37,23.3,114.41,19.81,83.3,159
9,59,18.56,83.76,22.59,107.83,140
10,22,25.5,141.05,23.09,141.09,253
11,32,23.12,124.09,18.91,76.12,153
12,14,23.79,125.07,20.0,103.14,190
13,12,22.33,113.67,24.67,169.33,220
14,7,25.71,162.43,25.71,170.57,284
15,9,25.0,173.56,21.89,113.0,253
16,6,22.33,119.0,22.83,85.5,185
17,4,38.25,193.0,34.0,276.5,357
18,2,18.0,79.5,17.5,81.5,92
19,5,18.6,68.2,16.8,76.6,103
20,3,21.67,88.67,27.33,150.33,212
23,2,38.0,268.5,12.5,40.0,295
24,1,40.0,328.0,12.0,47.0,355
28,1,41.0,210.0,13.0,33.0,257
29,1,40.0,328.0,13.0,34.0,349
38,1,66.0,686.0,19.0,67.0,770
