number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,805,16.77,57.94,17.06,55.21,50
1,868,16.52,62.77,19.35,75.15,81
2,510,17.04,78.49,24.8,165.56,157
3,457,18.66,85.8,21.77,149.04,161
4,289,19.58,92.38,20.79,111.16,115
5,272,21.63,108.62,19.16,111.67,152
6,160,24.86,134.16,19.38,90.54,134
7,153,25.94,149.23,17.53,82.16,170
8,99,32.25,227.85,16.96,77.64,226
9,97,30.05,194.08,16.78,74.4,219
10,73,29.78,194.18,16.08,71.62,189
11,51,29.84,220.37,17.78,88.29,241
12,59,34.69,208.81,15.98,69.46,216
13,23,37.09,267.83,20.26,122.26,293
14,31,34.81,241.81,15.87,71.97,251
15,19,41.26,336.58,21.42,114.79,371
16,12,31.92,238.67,17.75,64.83,240
17,3,31.33,299.67,16.0,67.0,285
18,11,31.09,213.36,17.55,85.27,217
19,1,63.0,211.0,17.0,51.0,264
20,2,33.0,226.5,15.0,86.5,233
21,2,28.5,329.0,14.5,46.5,318
22,2,48.0,507.5,12.5,30.0,541
23,1,31.0,325.0,12.0,38.0,348
