number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,288,30.91,33.39,31.68,34.07,78
1,450,26.53,28.55,31.46,33.94,72
2,496,27.36,29.71,29.12,31.44,68
3,645,26.65,28.81,30.26,32.76,70
4,576,27.59,29.88,28.12,30.43,68
5,572,26.3,28.45,30.58,33.15,71
6,453,27.98,30.32,30.41,32.94,73
7,389,27.19,29.51,32.15,34.96,75
8,290,30.06,32.67,30.67,33.3,77
9,225,26.89,29.14,33.63,36.4,77
10,169,29.02,31.43,31.4,34.05,78
11,140,28.55,30.92,36.05,39.5,87
12,78,31.65,34.37,36.54,39.49,91
13,76,30.42,33.28,39.95,43.17,98
14,50,35.06,38.3,35.82,38.72,97
15,28,35.29,38.36,41.29,44.75,110
16,23,37.61,40.83,44.43,47.91,111
17,19,26.05,28.42,56.0,60.32,120
18,4,35.25,38.25,56.0,59.25,135
19,7,37.43,40.43,50.86,53.86,130
20,8,36.88,40.25,50.12,52.75,116
21,5,33.2,36.4,51.8,55.4,119
22,3,57.0,60.0,38.33,42.0,150
23,3,21.33,21.67,76.33,81.0,153
24,1,79.0,82.0,39.0,44.0,162
25,1,33.0,35.0,42.0,44.0,86
26,1,21.0,23.0,68.0,69.0,130
