dataset,model,train_loss,test_acc
Mutagenicity,GIN,0.10847690424651181,0.8179723502304147
Mutagenicity,GCN,0.28575222139511636,0.815668202764977
Mutagenicity,GAT,0.2899893489452677,0.8341013824884793
DHFR,GIN,0.17925984804567538,0.7631578947368421
DHFR,GCN,0.38291732261055395,0.75
DHFR,GAT,0.3429044594890193,0.7697368421052632
NCI1,GIN,0.0950571274728451,0.8150851581508516
NCI1,GCN,0.38903727982808084,0.7652068126520681
NCI1,GAT,0.32493514893124403,0.7566909975669099
NCI109,GIN,0.0640607522688627,0.8062953995157385
NCI109,GCN,0.4188449904322624,0.7506053268765133
NCI109,GAT,0.3950421376010546,0.7578692493946732
IMDB-BINARY,GIN,0.5564147043228149,0.705
IMDB-BINARY,GCN,0.6758363342285156,0.645
IMDB-BINARY,GAT,0.6928606724739075,0.44
IMDB-MULTI,GIN,0.9697142604150271,0.4766666666666667
IMDB-MULTI,GCN,1.0811519277723212,0.41333333333333333
IMDB-MULTI,GAT,1.0987907899053473,0.3
