number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,393,29.66,30.77,29.59,30.92,67
1,586,30.91,31.29,30.55,30.95,75
2,487,27.57,28.43,28.93,29.74,65
3,611,27.76,28.45,28.54,29.36,67
4,524,29.19,30.03,29.32,29.91,69
5,490,27.55,28.36,28.0,28.79,68
6,423,30.75,30.31,28.21,28.87,72
7,363,29.66,30.51,30.16,30.95,74
8,271,30.79,31.6,31.0,31.03,77
9,233,32.42,33.11,30.27,31.03,80
10,166,34.81,34.25,33.38,34.18,89
11,132,33.77,35.05,33.39,34.16,85
12,102,34.84,34.85,32.6,33.53,86
13,60,40.75,36.88,33.78,33.95,102
14,46,41.54,41.85,34.07,34.04,99
15,38,35.97,36.87,39.76,40.74,106
16,21,46.33,32.1,48.1,48.62,125
17,14,41.71,43.43,39.14,40.43,104
18,13,49.31,45.46,35.23,33.54,122
19,8,75.25,36.12,36.12,37.12,149
20,4,94.25,80.75,17.0,17.25,173
21,3,22.33,22.33,56.0,58.67,109
22,3,42.0,43.33,28.0,29.67,107
23,1,35.0,36.0,6.0,5.0,72
24,2,27.0,27.5,53.5,57.0,105
25,3,66.0,60.0,36.67,38.33,161
27,2,54.5,57.0,69.5,73.0,170
28,1,14.0,13.0,104.0,104.0,199
