number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,650,45.95,48.11,44.6,46.86,70
1,1147,44.7,46.78,41.84,44.05,72
2,686,43.57,45.59,40.62,42.77,70
3,562,42.96,45.03,41.64,43.87,72
4,479,42.35,44.27,40.56,42.75,70
5,350,42.64,44.63,41.19,43.43,72
6,334,41.3,43.22,40.8,43.06,71
7,190,42.39,44.44,42.14,44.38,71
8,191,40.85,42.81,39.72,41.85,70
9,104,42.29,44.24,39.27,41.43,71
10,99,41.52,43.19,40.05,42.32,73
11,48,42.52,44.46,41.46,43.65,75
12,67,40.72,42.6,40.12,42.31,73
13,31,45.29,47.32,43.26,45.77,79
14,23,44.35,46.22,38.57,40.96,80
15,8,39.88,41.5,40.62,42.62,75
16,16,40.94,42.94,42.31,44.38,80
17,4,34.25,35.75,39.0,40.75,86
18,2,46.0,48.5,33.5,35.5,75
19,2,39.5,41.5,55.5,58.0,88
20,1,24.0,25.0,46.0,48.0,77
21,3,36.0,37.67,45.0,47.0,84
22,1,57.0,59.0,46.0,48.0,97
23,1,61.0,63.0,53.0,55.0,92
24,1,20.0,21.0,43.0,45.0,76
