number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,516,31.72,32.41,31.31,32.89,71
1,502,33.16,33.15,32.16,32.48,79
2,476,30.13,30.21,28.67,29.39,69
3,582,28.97,29.83,28.56,29.19,69
4,489,27.96,28.57,28.35,29.09,68
5,487,28.16,28.85,28.27,29.11,68
6,404,28.39,28.48,27.69,28.36,68
7,345,30.09,30.6,27.93,28.77,72
8,243,29.74,30.51,29.0,29.88,73
9,264,30.14,30.94,30.11,30.87,77
10,169,31.15,32.23,31.96,31.86,79
11,136,30.31,31.16,34.47,34.57,87
12,96,35.03,33.22,31.3,32.19,86
13,70,33.84,34.6,29.51,30.57,83
14,55,34.11,32.89,35.02,35.87,90
15,49,31.12,32.31,36.65,37.43,93
16,21,32.62,33.48,37.67,38.95,95
17,27,37.37,36.0,49.74,49.74,121
18,25,32.6,30.16,42.12,39.24,102
19,10,44.6,39.9,55.9,48.6,143
20,13,48.92,45.77,34.92,32.92,120
21,6,43.67,44.67,39.17,39.33,119
22,4,31.25,31.75,63.5,58.5,134
23,3,50.0,52.33,43.0,44.33,147
24,4,70.75,57.25,27.25,28.25,144
27,2,76.5,80.5,20.0,20.0,152
28,1,24.0,24.0,65.0,68.0,125
34,1,172.0,112.0,17.0,17.0,285
