number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,361,30.48,31.5,31.82,32.83,71
1,380,28.06,28.89,30.61,31.18,71
2,445,28.85,28.91,29.11,29.45,68
3,522,29.87,29.2,27.01,27.69,69
4,536,28.33,28.45,28.47,29.24,68
5,512,29.01,29.71,28.7,29.48,70
6,437,28.73,28.77,28.24,29.17,69
7,451,29.94,30.67,30.31,31.1,75
8,313,30.86,31.94,28.06,28.62,72
9,282,31.83,32.85,31.35,31.93,78
10,202,33.11,33.3,30.26,31.46,79
11,182,33.51,34.31,32.74,33.75,85
12,112,35.49,35.59,35.79,35.94,92
13,77,35.36,36.61,33.27,34.35,91
14,60,38.28,38.0,37.82,37.52,102
15,39,35.21,36.56,39.82,38.44,100
16,31,40.19,41.68,41.03,40.42,111
17,19,43.58,41.68,39.0,40.63,115
18,15,45.27,47.93,35.27,36.47,106
19,11,40.18,34.36,55.27,58.0,142
20,4,32.25,33.25,33.75,33.75,72
21,2,50.0,52.5,39.0,40.5,148
22,1,16.0,16.0,83.0,87.0,168
23,1,88.0,93.0,22.0,23.0,174
24,2,106.5,79.5,16.5,17.5,180
25,1,26.0,28.0,124.0,106.0,227
28,1,79.0,84.0,50.0,53.0,160
32,1,88.0,94.0,40.0,44.0,164
