number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,368,28.84,31.18,31.87,34.28,73
1,522,26.4,28.49,31.16,33.61,72
2,548,28.2,30.54,29.03,31.43,69
3,632,26.46,28.55,29.72,32.14,69
4,565,27.9,30.37,29.72,32.19,72
5,573,26.84,29.11,30.84,33.47,73
6,444,28.77,31.16,29.61,32.1,73
7,392,27.52,29.64,32.38,35.16,76
8,258,27.86,30.34,31.08,33.75,75
9,220,29.19,31.75,32.37,35.06,82
10,145,30.02,32.64,31.3,33.86,80
11,112,28.39,30.83,39.73,43.04,92
12,64,32.16,34.64,38.14,41.08,96
13,51,28.2,30.37,43.9,47.49,96
14,30,33.23,35.77,44.87,48.8,109
15,30,33.97,37.5,41.0,44.27,107
16,20,37.65,40.5,48.05,51.4,124
17,8,32.38,34.75,43.38,47.25,110
18,6,33.67,36.83,50.67,56.0,117
19,3,42.67,47.33,36.33,39.67,121
21,4,45.0,48.25,50.5,54.25,141
22,2,25.0,27.5,77.5,84.0,161
23,2,22.0,22.5,72.5,77.5,149
31,1,31.0,34.0,79.0,82.0,156
