number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,3948,28.67,31.13,33.25,36.08,78
1,267,24.06,25.24,28.43,30.37,69
2,311,26.16,28.24,26.26,28.1,64
3,148,25.36,26.83,26.16,28.01,67
4,162,25.1,26.87,25.59,27.22,61
5,62,25.56,26.97,28.65,30.47,69
6,58,23.91,25.55,29.12,31.0,66
7,18,25.72,27.11,26.0,27.89,66
8,10,32.4,34.7,23.3,24.9,71
9,4,26.75,28.25,24.25,25.25,63
10,7,25.57,26.57,30.43,32.86,70
11,2,22.5,24.5,15.5,16.5,40
12,1,36.0,39.0,27.0,28.0,75
13,1,34.0,35.0,38.0,41.0,80
14,1,25.0,28.0,33.0,35.0,67
