number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,843,30.29,32.67,37.03,40.15,85
1,992,28.9,31.21,34.25,37.06,82
2,504,26.28,28.46,29.8,32.19,69
3,629,28.03,30.24,30.99,33.57,74
4,430,26.15,28.33,27.73,29.9,66
5,409,26.59,28.77,31.7,34.36,73
6,311,25.9,28.08,28.48,30.72,65
7,238,27.44,29.6,31.19,33.66,74
8,183,26.1,28.31,27.19,29.54,65
9,129,28.32,30.8,30.58,33.12,75
10,127,27.76,30.5,27.47,29.65,67
11,75,27.83,30.36,33.39,36.32,76
12,35,28.46,31.14,28.54,30.83,69
13,30,29.57,31.77,30.07,32.17,74
14,23,31.91,34.65,27.74,29.78,78
15,12,30.33,32.0,31.5,34.0,83
16,12,27.17,29.42,26.83,29.42,66
17,4,27.75,30.5,31.0,32.0,75
18,5,33.0,36.4,42.8,46.8,106
19,3,41.0,44.0,17.0,18.33,83
20,4,32.25,35.75,44.5,49.0,103
22,1,43.0,48.0,32.0,34.0,93
24,1,56.0,62.0,24.0,27.0,122
