dataset,model,train_loss,test_acc
Mutagenicity,GIN,0.06142864039236116,0.8145161290322581
Mutagenicity,GCN,0.2457772660146066,0.8064516129032258
Mutagenicity,GAT,0.2122983232208895,0.7983870967741935
DHFR,GIN,0.23109941419802213,0.8421052631578947
DHFR,GCN,0.41189438104629517,0.7763157894736842
DHFR,GAT,0.3389571912978825,0.7828947368421053
NCI1,GIN,0.10133090372043617,0.7785888077858881
NCI1,GCN,0.3639805396494356,0.7493917274939172
NCI1,GAT,0.24587276917927472,0.7493917274939172
NCI109,GIN,0.14000430623015675,0.7324455205811138
NCI109,GCN,0.35319082625210285,0.7070217917675545
NCI109,GAT,0.282399827041305,0.7046004842615012
IMDB-BINARY,GIN,0.4450143015384674,0.665
IMDB-BINARY,GCN,0.69307936668396,0.47
IMDB-BINARY,GAT,0.6931373715400696,0.475
IMDB-MULTI,GIN,0.997279626758475,0.49
IMDB-MULTI,GCN,1.0797678357676457,0.38333333333333336
IMDB-MULTI,GAT,1.0985646341976367,0.29333333333333333
