number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,120,12.36,56.27,11.53,50.79,35
1,179,15.7,58.19,12.46,44.23,65
2,212,11.76,41.56,12.86,57.56,58
3,178,11.28,45.09,12.17,58.29,64
4,111,13.6,48.0,14.32,82.77,92
5,107,16.08,80.23,12.32,81.08,117
6,51,13.67,56.1,16.29,113.63,131
7,53,16.13,76.32,13.96,84.74,124
8,33,16.3,67.58,16.55,112.42,145
9,28,22.82,202.29,9.79,47.29,223
10,25,20.88,222.28,10.36,40.96,235
11,18,20.5,127.5,12.78,49.61,150
12,10,18.3,79.6,11.2,40.4,69
13,9,17.44,73.78,11.33,35.56,84
14,3,20.0,82.67,10.67,30.33,90
15,3,19.0,94.0,8.0,28.0,107
16,2,17.0,83.0,8.0,28.0,88
17,2,20.5,104.0,16.5,70.5,156
18,4,21.25,133.25,11.0,41.75,127
20,3,26.0,175.0,7.0,21.0,193
