number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,199,33.51,33.84,30.11,31.77,72
1,185,29.39,30.15,29.06,30.19,72
2,130,25.5,26.14,25.45,26.18,59
3,163,30.77,30.54,31.0,31.38,75
4,119,29.19,30.1,26.99,27.71,67
5,116,30.95,31.49,29.49,30.43,74
6,75,30.05,30.0,31.15,30.63,76
7,85,34.35,34.42,30.16,30.58,82
8,59,27.97,28.54,30.14,31.07,71
9,46,31.11,31.83,38.17,39.09,89
10,33,33.7,34.82,33.48,33.48,89
11,26,35.96,37.46,30.31,31.0,85
12,19,30.0,31.63,34.47,35.11,83
13,19,42.89,44.58,30.37,30.47,99
14,11,41.82,37.55,34.55,35.64,110
15,12,41.0,42.08,36.58,38.5,104
16,5,60.2,58.0,39.4,40.6,128
17,9,20.89,21.22,34.89,35.78,78
18,2,53.0,56.0,48.5,50.5,100
19,1,18.0,17.0,40.0,41.0,82
20,1,44.0,43.0,56.0,56.0,97
22,2,89.5,84.5,19.5,19.5,171
24,2,53.5,56.0,45.0,49.0,138
27,1,32.0,34.0,124.0,106.0,224
36,1,64.0,67.0,25.0,27.0,127
