number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,41,36.56,38.0,34.24,33.68,80
1,52,27.87,28.46,26.77,26.54,66
2,44,27.34,28.34,33.18,32.43,71
3,60,29.33,28.95,31.92,33.27,75
4,70,30.29,31.13,26.57,27.46,69
5,57,29.19,29.91,27.19,28.12,70
6,57,27.07,27.79,29.53,30.67,67
7,65,29.32,30.38,32.91,33.62,78
8,50,35.46,31.0,28.16,29.38,75
9,46,29.61,30.7,29.37,30.59,70
10,30,33.53,34.8,28.67,29.7,77
11,28,30.14,31.07,33.29,34.75,80
12,16,27.5,29.0,24.94,25.69,65
13,9,34.33,35.78,34.0,35.22,90
14,12,36.17,36.92,40.17,41.83,106
15,7,44.14,47.0,48.57,50.43,131
16,5,35.4,37.0,25.6,26.6,69
18,4,48.25,50.75,19.5,20.0,98
19,4,34.75,36.5,38.25,40.0,96
20,3,49.67,51.0,51.67,52.33,124
21,3,32.0,34.0,47.67,52.0,105
22,1,26.0,27.0,29.0,30.0,59
