dataset,model,train_loss,test_acc
Mutagenicity,GIN,0.10109374087748177,0.8248847926267281
Mutagenicity,GCN,0.2782757267219211,0.804147465437788
Mutagenicity,GAT,0.27917245734448826,0.8087557603686636
DHFR,GIN,0.14947992073077904,0.7960526315789473
DHFR,GCN,0.364104616014581,0.7894736842105263
DHFR,GAT,0.31222155690193176,0.7894736842105263
NCI1,GIN,0.08682295507344517,0.8211678832116789
NCI1,GCN,0.3634431187099623,0.745742092457421
NCI1,GAT,0.3385904858123909,0.767639902676399
NCI109,GIN,0.13275559226839015,0.7784503631961259
NCI109,GCN,0.4107658016280486,0.7433414043583535
NCI109,GAT,0.3577277587296871,0.738498789346247
IMDB-BINARY,GIN,0.547155408859253,0.62
IMDB-BINARY,GCN,0.6677742648124695,0.605
IMDB-BINARY,GAT,0.6929663491249084,0.475
IMDB-MULTI,GIN,1.0282758521406274,0.47333333333333333
IMDB-MULTI,GCN,1.083188665540595,0.41333333333333333
IMDB-MULTI,GAT,1.0987271948864585,0.30666666666666664
