number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,1180,17.88,84.15,17.42,71.9,67
1,1089,19.3,94.46,18.94,85.9,113
2,399,20.63,102.93,25.3,158.16,201
3,483,20.61,95.95,19.81,111.8,153
4,242,26.24,130.9,21.17,110.33,184
5,200,19.19,91.23,21.29,134.13,166
6,123,24.77,124.28,20.2,96.5,155
7,80,21.29,118.36,20.43,123.08,184
8,84,22.99,106.04,18.38,71.58,116
9,35,21.49,118.77,22.26,135.4,190
10,30,29.0,131.37,19.4,79.17,150
11,17,21.24,91.06,21.65,133.88,163
12,14,28.21,144.57,21.57,81.0,166
13,4,15.75,68.75,22.25,163.75,160
14,7,27.43,177.43,14.29,55.0,179
15,2,78.0,663.0,30.0,321.5,932
16,6,28.17,117.67,17.17,71.0,122
17,1,17.0,67.0,12.0,36.0,64
18,1,34.0,120.0,46.0,150.0,182
19,1,16.0,58.0,27.0,351.0,304
20,1,28.0,129.0,23.0,74.0,140
24,1,26.0,96.0,12.0,66.0,112
