number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,283,33.38,33.52,31.4,32.77,73
1,294,31.14,31.85,31.9,32.22,77
2,360,30.38,30.92,28.51,29.62,68
3,412,29.05,29.87,28.98,29.94,69
4,431,28.24,28.97,27.79,28.5,65
5,474,28.84,29.61,29.74,30.37,71
6,402,29.94,29.13,28.0,28.92,68
7,398,29.88,29.69,28.12,28.99,70
8,389,30.12,30.47,29.34,30.02,72
9,344,29.11,29.97,30.6,31.19,74
10,263,30.03,30.82,29.28,29.57,74
11,218,31.43,32.33,31.33,31.83,80
12,161,29.55,29.98,30.28,31.07,75
13,124,32.16,31.27,32.29,33.02,85
14,116,32.51,32.72,31.6,32.21,83
15,95,32.25,32.64,29.95,30.31,84
16,50,31.82,32.92,31.52,31.82,85
17,48,32.81,32.65,32.81,33.75,91
18,41,39.83,38.22,40.29,38.8,114
19,30,35.87,36.8,39.8,41.53,107
20,16,34.25,35.69,39.06,37.44,105
21,16,36.44,38.12,47.0,45.44,127
22,9,36.22,37.22,64.0,54.78,143
23,6,50.83,53.83,46.83,46.33,155
24,3,36.67,37.67,55.0,57.33,125
25,6,54.33,56.17,28.83,29.33,126
26,4,44.75,46.0,38.25,38.75,127
27,2,68.5,72.0,23.0,24.0,138
28,3,50.0,53.67,51.0,53.0,146
32,1,18.0,19.0,109.0,105.0,217
36,1,31.0,31.0,76.0,78.0,153
