number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,329,35.05,34.89,32.08,33.62,76
1,404,31.91,32.66,30.36,30.8,75
2,406,30.45,31.05,30.14,30.59,72
3,508,32.26,32.24,29.6,30.24,75
4,496,30.85,30.8,28.36,29.07,70
5,494,28.35,29.02,28.8,29.61,70
6,424,28.16,28.75,27.82,28.42,67
7,395,28.18,29.04,28.56,29.41,69
8,330,29.62,28.97,27.68,28.52,69
9,266,27.6,28.29,29.89,30.54,71
10,236,30.36,31.01,28.89,29.83,75
11,171,28.91,29.69,31.57,32.41,78
12,160,32.6,32.73,30.36,30.91,79
13,106,27.75,28.71,31.55,32.82,78
14,68,28.12,29.09,34.19,35.49,84
15,52,33.06,34.04,34.58,33.69,88
16,51,32.0,33.24,42.86,41.53,103
17,25,38.68,40.44,32.44,32.96,98
18,27,32.63,33.0,50.41,48.22,114
19,14,28.79,29.57,48.86,50.36,111
20,7,32.71,33.86,34.57,35.86,81
21,17,36.65,37.82,48.71,50.12,114
22,5,46.4,44.4,42.6,44.0,127
23,3,39.67,42.0,32.0,33.33,113
25,2,27.0,28.5,127.0,92.0,216
26,3,42.0,43.33,50.67,52.67,129
33,1,93.0,96.0,37.0,39.0,175
