number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,341,37.32,35.66,32.48,32.3,84
1,452,33.52,33.21,31.31,31.76,81
2,432,29.76,30.06,29.01,29.64,70
3,525,29.6,30.27,29.07,29.55,72
4,457,28.32,28.7,27.6,28.33,67
5,446,29.8,30.33,29.03,29.91,73
6,443,27.66,28.61,27.82,28.9,66
7,388,28.62,29.46,27.86,28.63,69
8,337,28.91,29.15,29.39,30.37,70
9,293,28.48,29.27,30.1,30.76,73
10,247,30.15,30.66,29.97,31.15,74
11,174,30.43,31.55,31.24,32.36,76
12,137,31.75,33.12,30.75,31.82,78
13,84,30.18,31.51,34.21,35.11,83
14,76,31.78,33.3,40.67,39.57,91
15,44,32.43,33.57,39.39,38.7,88
16,39,30.15,31.33,36.15,37.72,83
17,28,34.11,35.68,32.57,33.89,87
18,20,30.9,32.4,42.15,44.7,93
19,14,36.71,38.36,46.07,47.86,111
20,8,47.62,41.5,28.5,29.25,101
21,2,28.5,28.5,55.5,58.5,114
22,4,69.0,54.75,44.0,46.75,146
23,4,78.5,67.0,36.5,39.0,150
24,2,45.5,48.0,39.5,40.5,112
25,1,25.0,27.0,75.0,74.0,149
27,1,15.0,15.0,86.0,89.0,171
28,1,79.0,84.0,50.0,53.0,160
