number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,171,29.39,31.49,29.85,31.98,69
1,272,25.2,27.0,31.5,33.8,70
2,331,27.65,29.91,27.25,29.38,66
3,479,25.47,27.48,29.7,32.01,68
4,486,28.44,30.9,28.67,30.94,70
5,516,25.91,27.97,30.4,33.0,70
6,468,29.21,31.76,28.77,31.18,71
7,499,25.76,27.91,31.41,34.03,72
8,409,29.91,32.55,30.24,32.87,76
9,318,26.32,28.56,33.31,36.22,77
10,266,30.22,32.85,32.03,34.91,80
11,218,27.94,30.22,35.17,38.28,80
12,167,31.98,34.8,34.43,37.21,87
13,128,27.88,30.22,37.95,41.2,88
14,85,34.45,37.48,36.86,39.88,94
15,67,29.06,31.34,38.73,41.55,89
16,40,33.73,36.6,39.33,42.35,98
17,20,24.55,26.7,50.35,54.8,110
18,18,37.67,40.33,44.56,47.78,118
19,12,35.08,39.08,53.33,57.42,126
20,7,27.71,30.14,46.14,49.71,107
21,9,39.0,41.56,61.11,66.11,153
22,2,70.5,73.5,22.0,23.5,132
23,5,30.0,31.8,57.0,63.0,140
24,3,51.0,55.33,35.67,40.0,136
25,2,63.0,67.5,29.5,32.0,139
30,1,34.0,38.0,60.0,63.0,125
31,1,15.0,17.0,71.0,77.0,150
