number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,454,35.37,38.43,35.45,38.55,89
1,547,29.0,31.36,32.65,35.26,78
2,590,28.66,31.1,28.79,31.2,71
3,697,26.61,28.76,31.33,33.8,73
4,528,26.45,28.59,27.89,30.1,66
5,511,25.54,27.77,30.65,33.2,71
6,428,27.06,29.29,28.86,31.37,70
7,357,26.24,28.43,33.2,36.04,76
8,256,27.72,29.97,29.07,31.27,71
9,206,25.94,27.96,33.44,36.13,77
10,122,27.93,30.32,29.04,31.2,72
11,120,26.24,28.34,35.73,38.89,82
12,61,28.31,30.8,33.26,35.92,78
13,48,25.04,26.83,42.42,46.02,93
14,33,32.03,34.48,36.06,38.88,92
15,18,26.5,28.78,43.94,47.28,101
16,5,31.0,33.6,38.6,41.4,98
17,7,36.29,38.43,42.86,47.0,113
18,5,35.8,38.4,43.8,48.2,117
19,4,28.5,31.5,56.25,62.5,128
20,2,25.0,28.5,56.0,59.5,115
23,1,16.0,17.0,63.0,69.0,128
