number_of_flips,count,nodes_start_mean,edges_start_mean,nodes_target_mean,edges_target_mean,Average GED
0,77,27.86,30.01,32.75,34.96,77
1,121,25.22,26.88,33.77,36.22,74
2,213,27.73,29.91,28.54,30.83,70
3,276,24.42,26.2,32.34,34.78,73
4,318,28.16,30.35,29.87,32.11,72
5,397,25.11,27.09,31.74,34.24,71
6,403,28.47,30.73,28.56,30.88,71
7,476,26.48,28.62,31.41,33.96,73
8,402,28.6,31.07,29.55,31.97,71
9,390,26.15,28.31,32.1,34.87,74
10,393,29.46,31.96,29.96,32.27,74
11,330,26.67,28.83,30.4,33.11,71
12,275,30.97,33.92,30.05,32.43,76
13,239,27.43,29.79,33.34,36.25,77
14,176,32.31,35.24,30.65,33.32,78
15,170,27.07,29.33,36.86,40.28,84
16,94,32.51,35.33,31.41,34.44,81
17,75,28.52,31.15,36.63,39.97,84
18,42,37.48,41.17,32.69,35.93,92
19,40,30.12,32.98,38.1,41.55,91
20,18,26.83,29.78,40.61,44.72,88
21,21,35.14,37.9,35.1,37.38,96
22,12,34.92,38.0,37.17,40.58,95
23,10,34.8,38.4,43.9,48.3,105
24,5,32.2,34.6,38.4,43.0,91
25,11,34.82,38.27,53.18,58.0,129
26,3,36.0,40.33,51.67,56.33,129
27,6,43.67,48.83,35.5,39.0,119
28,2,45.5,48.0,44.5,45.0,114
29,2,60.5,65.0,53.0,60.0,188
31,2,60.0,67.0,54.5,61.5,194
32,1,79.0,83.0,14.0,16.0,160
