dataset,model,train_loss,test_acc
Mutagenicity,GIN,0.01304962161341566,0.8110599078341014
Mutagenicity,GCN,0.16698667588173796,0.7661290322580645
Mutagenicity,GAT,0.11519442859251018,0.7960829493087558
DHFR,GIN,0.09572752771016799,0.7763157894736842
DHFR,GCN,0.33242224705846685,0.8157894736842105
DHFR,GAT,0.2007593394894349,0.7105263157894737
NCI1,GIN,0.022137406042514785,0.7785888077858881
NCI1,GCN,0.21126949664169145,0.7481751824817519
NCI1,GAT,0.1215750666389477,0.7481751824817519
NCI109,GIN,0.02872621823245516,0.7760290556900726
NCI109,GCN,0.21811839347132123,0.7167070217917676
NCI109,GAT,0.14466969188875878,0.7215496368038741
IMDB-BINARY,GIN,0.5368102622032166,0.66
IMDB-BINARY,GCN,0.6200567197799682,0.66
IMDB-BINARY,GAT,0.6932595157623291,0.48
IMDB-MULTI,GIN,0.9823309151749862,0.47
IMDB-MULTI,GCN,1.079833785170003,0.38333333333333336
IMDB-MULTI,GAT,1.0986421296471043,0.31333333333333335
