dataset,model,train_loss,test_acc
Mutagenicity,GIN,0.35159696365168336,0.8122119815668203
Mutagenicity,GCN,0.33860015500029295,0.8052995391705069
Mutagenicity,GAT,0.5154408057895276,0.7695852534562212
DHFR,GIN,0.49893808051159505,0.75
DHFR,GCN,0.5345145589426944,0.7697368421052632
DHFR,GAT,0.6055785103848106,0.618421052631579
NCI1,GIN,0.4228255236611783,0.7250608272506083
NCI1,GCN,0.44639223842944914,0.7579075425790754
NCI1,GAT,0.6018556049726542,0.5742092457420924
NCI109,GIN,0.4368833707502255,0.7518159806295399
NCI109,GCN,0.4731341445675263,0.7263922518159807
NCI109,GAT,0.6093423294906433,0.6707021791767555
IMDB-BINARY,GIN,0.5969914603233337,0.69
IMDB-BINARY,GCN,0.6931153607368469,0.465
IMDB-BINARY,GAT,0.6930643892288209,0.47
IMDB-MULTI,GIN,1.0779045035964565,0.3233333333333333
IMDB-MULTI,GCN,1.0983131120079441,0.27666666666666667
IMDB-MULTI,GAT,1.098344646002117,0.30333333333333334
