number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,331,42.83 ± 10.63,44.66 ± 10.79,39.39 ± 9.67,41.38 ± 9.84,67.14 ± 24.68
1,413,45.72 ± 10.22,47.69 ± 10.43,41.41 ± 8.41,43.55 ± 8.60,75.32 ± 19.62
2,499,43.87 ± 10.12,45.83 ± 10.29,41.28 ± 8.19,43.43 ± 8.31,69.12 ± 20.72
3,512,44.62 ± 9.70,46.66 ± 9.92,41.89 ± 8.34,44.05 ± 8.49,71.96 ± 18.10
4,529,43.17 ± 10.22,45.18 ± 10.44,41.44 ± 8.11,43.63 ± 8.27,69.75 ± 19.23
5,540,44.15 ± 9.77,46.18 ± 10.01,41.86 ± 7.41,44.14 ± 7.59,72.03 ± 17.11
6,430,42.77 ± 9.98,44.82 ± 10.26,41.72 ± 7.67,43.97 ± 7.86,70.26 ± 16.93
7,371,43.26 ± 9.44,45.32 ± 9.71,42.08 ± 7.69,44.36 ± 7.83,71.84 ± 16.08
8,320,42.52 ± 9.63,44.64 ± 9.88,41.09 ± 7.02,43.35 ± 7.16,70.17 ± 16.38
9,259,42.41 ± 9.22,44.48 ± 9.49,42.18 ± 7.75,44.50 ± 7.98,70.03 ± 15.26
10,200,41.64 ± 9.96,43.66 ± 10.29,41.88 ± 7.30,44.13 ± 7.43,70.37 ± 15.09
11,179,43.47 ± 8.95,45.61 ± 9.19,41.74 ± 7.63,44.02 ± 7.75,72.69 ± 13.54
12,131,41.20 ± 10.41,43.24 ± 10.76,42.59 ± 7.04,44.90 ± 7.20,72.68 ± 13.68
13,89,41.90 ± 8.92,44.06 ± 9.26,42.53 ± 7.46,44.89 ± 7.72,72.12 ± 14.37
14,73,42.88 ± 10.00,45.04 ± 10.39,42.30 ± 7.96,44.67 ± 8.22,75.62 ± 14.06
15,48,42.58 ± 7.85,44.62 ± 8.11,42.92 ± 8.44,45.15 ± 8.54,74.10 ± 10.47
16,21,42.29 ± 11.84,44.52 ± 12.14,42.38 ± 10.25,44.71 ± 10.52,76.95 ± 18.91
17,20,46.45 ± 11.10,48.70 ± 11.56,43.70 ± 8.53,46.05 ± 8.62,81.70 ± 18.25
18,15,45.47 ± 7.81,47.27 ± 8.03,42.40 ± 9.01,44.53 ± 9.36,81.13 ± 10.49
19,9,51.67 ± 6.34,53.78 ± 6.38,35.00 ± 8.80,37.22 ± 9.32,85.00 ± 9.37
20,6,36.00 ± 11.83,37.67 ± 12.24,46.17 ± 6.31,48.50 ± 6.19,81.17 ± 13.64
21,2,39.50 ± 3.54,41.50 ± 3.54,35.50 ± 6.36,38.00 ± 7.07,68.00 ± 1.41
22,2,32.50 ± 17.68,34.50 ± 19.09,50.50 ± 4.95,53.00 ± 5.66,86.00 ± 11.31
23,1,39.00 ± 0.00,42.00 ± 0.00,50.00 ± 0.00,53.00 ± 0.00,81.00 ± 0.00
Total,5000,43.46 ± 9.93,45.48 ± 10.17,41.58 ± 8.01,43.80 ± 8.18,71.23 ± 18.12
