number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,735,41.75 ± 10.74,43.64 ± 10.98,38.67 ± 9.05,40.84 ± 9.29,65.83 ± 21.69
1,427,42.35 ± 9.63,44.40 ± 9.91,41.55 ± 7.00,43.85 ± 7.22,68.24 ± 16.62
2,585,42.61 ± 10.41,44.56 ± 10.67,40.52 ± 8.10,42.74 ± 8.27,68.65 ± 19.66
3,452,43.12 ± 9.24,45.17 ± 9.48,42.50 ± 6.98,44.78 ± 7.15,69.63 ± 16.59
4,518,42.97 ± 10.11,44.97 ± 10.34,41.25 ± 7.74,43.45 ± 7.88,71.59 ± 17.76
5,407,43.81 ± 9.02,45.88 ± 9.21,42.56 ± 7.34,44.74 ± 7.47,71.75 ± 15.75
6,422,43.79 ± 9.39,45.86 ± 9.62,42.03 ± 8.32,44.22 ± 8.45,72.18 ± 16.61
7,304,44.61 ± 8.59,46.72 ± 8.74,42.77 ± 7.50,44.99 ± 7.60,72.22 ± 15.86
8,316,43.74 ± 9.82,45.74 ± 10.07,42.58 ± 7.50,44.82 ± 7.72,73.91 ± 16.90
9,209,44.72 ± 8.84,46.88 ± 9.08,42.78 ± 7.60,44.93 ± 7.71,74.44 ± 15.30
10,180,45.32 ± 10.88,47.39 ± 11.08,43.32 ± 8.06,45.50 ± 8.23,78.64 ± 16.55
11,122,45.75 ± 9.79,47.88 ± 9.93,42.57 ± 7.16,44.80 ± 7.34,76.33 ± 16.03
12,113,47.35 ± 10.75,49.56 ± 10.95,42.81 ± 8.78,44.98 ± 8.93,80.49 ± 17.31
13,71,44.61 ± 9.27,46.63 ± 9.46,42.41 ± 7.91,44.63 ± 8.04,75.68 ± 12.95
14,54,46.57 ± 9.27,48.67 ± 9.48,43.72 ± 8.59,45.91 ± 8.76,79.56 ± 14.91
15,30,44.80 ± 8.75,46.80 ± 8.97,44.73 ± 7.36,47.03 ± 7.50,78.63 ± 14.66
16,18,47.00 ± 10.23,49.33 ± 10.40,46.28 ± 8.93,48.33 ± 9.21,83.22 ± 17.25
17,12,48.00 ± 10.00,50.17 ± 10.68,42.83 ± 7.27,45.17 ± 7.53,85.67 ± 13.98
18,10,48.40 ± 9.29,50.30 ± 9.64,43.00 ± 7.10,44.90 ± 7.36,83.40 ± 14.09
19,4,53.75 ± 13.07,56.25 ± 13.65,47.25 ± 2.87,50.00 ± 3.56,91.25 ± 20.02
20,3,33.00 ± 22.52,34.33 ± 23.09,49.00 ± 7.81,51.33 ± 8.14,97.33 ± 6.81
21,1,53.00 ± 0.00,55.00 ± 0.00,37.00 ± 0.00,40.00 ± 0.00,89.00 ± 0.00
22,3,51.33 ± 4.16,53.67 ± 5.03,41.67 ± 4.04,44.00 ± 3.46,82.00 ± 6.08
23,2,64.50 ± 0.71,67.50 ± 0.71,45.50 ± 3.54,48.00 ± 2.83,103.00 ± 4.24
29,1,71.00 ± 0.00,73.00 ± 0.00,47.00 ± 0.00,50.00 ± 0.00,113.00 ± 0.00
32,1,46.00 ± 0.00,48.00 ± 0.00,63.00 ± 0.00,66.00 ± 0.00,100.00 ± 0.00
Total,5000,43.46 ± 9.93,45.48 ± 10.17,41.58 ± 8.01,43.80 ± 8.18,71.23 ± 18.12
