number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,273,41.41 ± 9.85,43.38 ± 10.05,39.58 ± 8.84,41.74 ± 9.10,57.82 ± 23.70
1,316,42.88 ± 8.90,44.97 ± 9.10,40.76 ± 8.05,43.02 ± 8.31,66.15 ± 17.66
2,400,41.72 ± 9.19,43.72 ± 9.42,40.54 ± 7.70,42.70 ± 7.93,65.08 ± 18.52
3,490,41.74 ± 9.51,43.72 ± 9.80,41.35 ± 7.65,43.58 ± 7.86,68.26 ± 16.11
4,516,42.19 ± 10.03,44.16 ± 10.31,41.12 ± 8.38,43.33 ± 8.52,69.71 ± 17.51
5,482,42.91 ± 9.80,44.95 ± 10.08,41.23 ± 7.87,43.41 ± 8.03,71.22 ± 17.01
6,473,43.17 ± 9.75,45.18 ± 9.98,41.81 ± 7.69,44.00 ± 7.86,70.07 ± 17.54
7,434,43.69 ± 9.97,45.74 ± 10.24,42.33 ± 7.09,44.59 ± 7.18,73.17 ± 16.27
8,358,43.99 ± 10.30,46.02 ± 10.47,41.73 ± 7.75,43.99 ± 7.93,74.56 ± 16.08
9,315,44.28 ± 9.72,46.34 ± 9.96,41.91 ± 8.09,44.13 ± 8.29,74.63 ± 16.38
10,267,43.97 ± 10.25,45.95 ± 10.50,41.46 ± 8.24,43.63 ± 8.43,75.19 ± 16.45
11,191,47.08 ± 10.16,49.15 ± 10.36,42.97 ± 8.28,45.17 ± 8.35,77.99 ± 16.69
12,152,47.91 ± 10.68,49.97 ± 10.92,42.75 ± 8.44,44.93 ± 8.62,80.99 ± 17.77
13,96,46.85 ± 8.05,48.99 ± 8.19,44.36 ± 7.90,46.52 ± 7.90,79.69 ± 13.59
14,72,45.46 ± 10.24,47.44 ± 10.42,41.93 ± 8.82,44.17 ± 8.80,80.99 ± 15.33
15,59,48.92 ± 8.85,51.07 ± 8.92,46.08 ± 7.80,48.44 ± 7.78,82.07 ± 14.26
16,35,48.26 ± 9.62,50.57 ± 9.63,44.66 ± 8.99,46.83 ± 8.92,84.57 ± 13.26
17,30,48.93 ± 8.37,51.13 ± 8.23,41.27 ± 7.50,43.63 ± 7.71,81.63 ± 14.74
18,22,46.41 ± 11.88,48.59 ± 12.28,42.77 ± 8.41,45.14 ± 8.82,87.32 ± 14.13
19,9,49.67 ± 13.44,51.78 ± 13.74,47.67 ± 6.08,50.00 ± 5.87,90.11 ± 15.10
20,5,45.20 ± 5.40,47.20 ± 5.40,45.40 ± 6.23,48.20 ± 5.76,80.40 ± 10.21
21,3,45.00 ± 23.64,46.67 ± 24.17,39.33 ± 8.39,41.67 ± 8.14,85.67 ± 21.96
23,1,52.00 ± 0.00,54.00 ± 0.00,40.00 ± 0.00,42.00 ± 0.00,89.00 ± 0.00
25,1,49.00 ± 0.00,51.00 ± 0.00,53.00 ± 0.00,55.00 ± 0.00,74.00 ± 0.00
Total,5000,43.46 ± 9.93,45.48 ± 10.17,41.58 ± 8.01,43.80 ± 8.18,71.23 ± 18.12
