number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,22,10.50 ± 4.04,36.45 ± 19.25,9.82 ± 2.97,44.91 ± 30.96,21.95 ± 25.95
1,7,12.43 ± 4.58,39.86 ± 13.64,19.14 ± 11.61,78.86 ± 39.00,69.71 ± 44.23
2,15,9.60 ± 3.92,29.27 ± 10.41,16.93 ± 9.34,100.93 ± 137.64,97.67 ± 147.59
3,36,8.83 ± 3.31,25.75 ± 10.11,11.44 ± 4.99,46.00 ± 35.97,38.19 ± 36.16
4,8,12.00 ± 5.66,38.75 ± 30.28,12.62 ± 6.44,37.25 ± 19.72,44.62 ± 37.58
5,15,9.20 ± 4.69,28.00 ± 23.57,14.00 ± 4.71,67.07 ± 48.56,59.60 ± 46.61
6,5,12.20 ± 5.89,36.20 ± 19.02,13.40 ± 1.67,49.20 ± 11.88,52.60 ± 8.88
7,5,13.40 ± 6.50,42.20 ± 20.47,14.00 ± 5.20,55.80 ± 32.20,55.80 ± 31.88
8,5,13.00 ± 5.74,40.40 ± 19.58,19.40 ± 17.21,120.00 ± 126.08,145.60 ± 135.13
9,10,17.80 ± 4.89,51.30 ± 13.04,12.40 ± 8.49,49.90 ± 43.31,70.80 ± 51.04
10,2,9.00 ± 1.41,21.50 ± 7.78,30.00 ± 11.31,467.00 ± 333.75,466.50 ± 354.26
11,7,13.57 ± 4.76,39.43 ± 14.72,12.14 ± 5.24,47.86 ± 26.92,60.14 ± 24.24
12,1,8.00 ± 0.00,16.00 ± 0.00,32.00 ± 0.00,496.00 ± 0.00,504.00 ± 0.00
13,2,15.00 ± 9.90,41.50 ± 36.06,19.50 ± 9.19,114.50 ± 85.56,133.50 ± 86.97
14,3,14.00 ± 0.00,49.00 ± 0.00,7.00 ± 0.00,21.00 ± 0.00,59.00 ± 0.00
16,3,19.00 ± 5.20,55.33 ± 12.58,8.67 ± 2.08,23.67 ± 3.79,60.67 ± 15.31
17,2,15.00 ± 9.90,42.50 ± 20.51,21.00 ± 14.14,182.50 ± 214.25,200.00 ± 193.75
Total,148,11.25 ± 5.07,34.46 ± 18.13,13.45 ± 7.63,68.45 ± 92.22,67.05 ± 96.67
