number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,512,30.44 ± 17.77,31.51 ± 15.07,30.53 ± 16.65,31.98 ± 15.50,70.26 ± 36.43
1,490,30.81 ± 18.85,31.49 ± 17.71,30.72 ± 17.67,31.56 ± 16.97,76.59 ± 39.00
2,476,28.30 ± 18.45,28.62 ± 16.04,28.93 ± 14.20,29.88 ± 15.02,66.34 ± 35.68
3,523,29.51 ± 17.62,29.96 ± 15.59,28.81 ± 17.72,29.35 ± 16.35,70.37 ± 38.63
4,474,28.87 ± 17.01,29.55 ± 16.37,29.61 ± 17.77,30.01 ± 15.54,69.83 ± 37.16
5,486,29.01 ± 18.06,29.35 ± 16.28,27.80 ± 13.99,28.56 ± 14.33,69.37 ± 34.57
6,389,30.25 ± 24.10,30.24 ± 16.90,27.82 ± 14.88,28.48 ± 14.27,69.61 ± 40.10
7,382,29.69 ± 15.17,30.55 ± 15.86,29.30 ± 14.08,30.19 ± 14.82,72.19 ± 31.13
8,267,29.44 ± 15.93,30.17 ± 15.25,28.23 ± 14.24,28.92 ± 15.00,71.16 ± 31.00
9,226,32.24 ± 30.60,31.62 ± 17.43,31.13 ± 18.28,31.75 ± 17.47,80.03 ± 47.09
10,210,31.88 ± 17.25,32.79 ± 17.25,30.00 ± 15.90,31.00 ± 16.49,76.93 ± 33.35
11,145,30.36 ± 17.31,31.17 ± 17.39,32.46 ± 16.21,33.33 ± 17.02,78.72 ± 33.69
12,108,31.73 ± 21.31,31.94 ± 18.43,31.03 ± 18.41,31.64 ± 18.01,83.12 ± 40.37
13,86,34.40 ± 23.71,34.50 ± 20.43,35.99 ± 28.09,35.20 ± 22.20,94.10 ± 51.88
14,56,37.30 ± 53.68,32.30 ± 18.01,34.04 ± 16.25,35.27 ± 17.03,90.82 ± 66.02
15,53,34.25 ± 16.28,35.43 ± 17.17,33.92 ± 20.99,35.09 ± 21.70,89.91 ± 35.95
16,34,41.00 ± 26.73,41.41 ± 25.30,50.85 ± 49.39,43.53 ± 28.95,125.00 ± 70.56
17,21,33.67 ± 20.35,34.76 ± 21.68,41.95 ± 29.88,40.90 ± 24.79,101.81 ± 45.18
18,12,30.08 ± 14.29,30.67 ± 14.52,34.83 ± 31.16,33.17 ± 25.68,87.92 ± 47.61
19,12,37.08 ± 14.47,38.50 ± 16.46,32.17 ± 18.85,33.25 ± 20.03,92.00 ± 26.37
20,10,42.10 ± 17.07,44.20 ± 18.06,35.40 ± 28.09,35.60 ± 27.06,108.30 ± 42.44
21,8,81.75 ± 136.49,43.00 ± 29.11,38.62 ± 20.20,40.38 ± 21.92,153.62 ± 153.61
22,6,57.00 ± 34.68,56.50 ± 31.07,44.00 ± 44.65,40.50 ± 33.42,146.17 ± 64.90
23,5,50.00 ± 15.68,50.60 ± 15.14,27.60 ± 30.80,28.40 ± 33.22,118.20 ± 38.26
24,1,14.00 ± 0.00,13.00 ± 0.00,104.00 ± 0.00,104.00 ± 0.00,199.00 ± 0.00
25,3,28.33 ± 8.14,29.33 ± 8.96,80.67 ± 37.86,75.33 ± 27.23,151.33 ± 63.72
27,3,36.33 ± 29.67,38.67 ± 33.65,74.67 ± 55.30,67.00 ± 42.72,172.33 ± 53.46
32,1,88.00 ± 0.00,94.00 ± 0.00,8.00 ± 0.00,7.00 ± 0.00,176.00 ± 0.00
36,1,35.00 ± 0.00,36.00 ± 0.00,76.00 ± 0.00,78.00 ± 0.00,153.00 ± 0.00
Total,5000,30.38 ± 20.72,30.79 ± 16.74,29.99 ± 17.44,30.69 ± 16.42,73.75 ± 39.52
