number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,564,32.42 ± 24.14,32.95 ± 17.47,30.09 ± 13.84,31.61 ± 14.42,71.47 ± 40.35
1,522,30.59 ± 18.40,31.17 ± 16.86,29.10 ± 17.09,29.66 ± 15.82,72.97 ± 37.98
2,481,28.36 ± 15.54,29.12 ± 15.64,27.37 ± 12.39,28.38 ± 13.32,64.72 ± 30.45
3,574,29.69 ± 15.98,30.54 ± 16.15,29.52 ± 17.90,30.07 ± 16.70,72.41 ± 36.68
4,456,28.85 ± 18.85,29.24 ± 17.06,28.30 ± 16.73,28.74 ± 14.03,68.02 ± 38.10
5,448,30.25 ± 18.23,30.83 ± 17.03,30.01 ± 17.37,30.73 ± 16.28,73.94 ± 38.24
6,359,28.15 ± 14.12,28.92 ± 14.95,29.39 ± 17.15,29.83 ± 15.17,69.78 ± 32.79
7,351,29.91 ± 24.74,29.77 ± 14.78,29.40 ± 17.35,30.03 ± 16.51,73.06 ± 41.01
8,265,30.42 ± 17.87,31.07 ± 15.82,29.63 ± 17.54,30.21 ± 16.94,74.74 ± 36.74
9,238,29.20 ± 14.14,30.00 ± 15.04,28.82 ± 14.55,29.67 ± 14.78,72.70 ± 29.06
10,201,27.94 ± 12.68,28.81 ± 13.58,32.15 ± 19.21,32.71 ± 18.54,74.73 ± 34.02
11,132,31.29 ± 15.85,32.19 ± 16.27,32.43 ± 18.14,33.43 ± 18.69,81.09 ± 35.46
12,94,35.49 ± 28.85,34.48 ± 20.78,34.51 ± 20.68,35.13 ± 19.95,89.02 ± 51.11
13,85,34.12 ± 23.93,34.60 ± 21.90,31.44 ± 17.90,32.05 ± 17.52,86.26 ± 41.83
14,71,35.62 ± 27.74,35.06 ± 21.18,34.72 ± 22.38,35.08 ± 21.03,94.08 ± 47.52
15,38,34.45 ± 29.37,33.34 ± 22.87,33.08 ± 21.01,33.11 ± 18.02,91.39 ± 50.10
16,34,35.26 ± 18.55,36.38 ± 19.79,41.06 ± 34.16,39.15 ± 25.64,104.21 ± 53.21
17,29,30.62 ± 16.99,31.59 ± 18.13,43.14 ± 24.87,45.00 ± 26.57,103.10 ± 39.35
18,18,31.83 ± 19.07,32.33 ± 20.12,53.00 ± 48.93,46.94 ± 31.12,118.39 ± 71.31
19,4,117.00 ± 200.12,37.50 ± 42.35,35.25 ± 11.24,37.25 ± 12.55,189.25 ± 225.36
20,11,36.18 ± 17.90,37.27 ± 19.15,37.91 ± 29.86,39.18 ± 30.90,108.82 ± 39.52
21,10,39.30 ± 23.87,40.80 ± 24.76,40.10 ± 27.77,41.50 ± 29.24,111.80 ± 49.54
22,4,29.00 ± 12.70,29.25 ± 13.05,39.75 ± 22.20,40.00 ± 23.62,88.00 ± 34.59
23,3,20.33 ± 16.65,20.33 ± 17.62,73.67 ± 37.63,72.00 ± 33.00,144.67 ± 68.12
24,1,14.00 ± 0.00,14.00 ± 0.00,43.00 ± 0.00,43.00 ± 0.00,86.00 ± 0.00
25,1,18.00 ± 0.00,18.00 ± 0.00,86.00 ± 0.00,91.00 ± 0.00,175.00 ± 0.00
26,3,164.00 ± 220.16,59.33 ± 42.06,46.67 ± 31.50,49.00 ± 32.97,270.67 ± 221.62
30,2,102.50 ± 98.29,73.00 ± 55.15,44.00 ± 38.18,46.00 ± 41.01,208.50 ± 108.19
35,1,7.00 ± 0.00,6.00 ± 0.00,64.00 ± 0.00,67.00 ± 0.00,131.00 ± 0.00
Total,5000,30.38 ± 20.72,30.79 ± 16.74,29.99 ± 17.44,30.69 ± 16.42,73.75 ± 39.52
