number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,309,31.21 ± 18.87,32.04 ± 16.47,32.65 ± 21.15,33.19 ± 17.60,72.48 ± 42.38
1,353,28.26 ± 17.88,28.60 ± 16.84,28.96 ± 17.76,29.55 ± 17.06,70.18 ± 39.44
2,470,29.19 ± 25.26,29.07 ± 16.86,26.40 ± 12.88,27.22 ± 13.25,66.00 ± 39.85
3,566,29.15 ± 18.13,29.60 ± 16.48,27.76 ± 13.92,28.56 ± 14.69,68.79 ± 35.32
4,533,28.93 ± 17.09,29.62 ± 15.76,28.40 ± 15.27,29.18 ± 14.57,68.34 ± 33.91
5,584,29.08 ± 14.52,29.94 ± 15.13,29.70 ± 18.46,30.16 ± 17.01,73.29 ± 35.31
6,488,28.78 ± 22.82,28.84 ± 15.93,28.76 ± 16.13,29.49 ± 15.40,70.34 ± 39.86
7,387,28.91 ± 16.38,29.60 ± 16.56,30.74 ± 19.80,31.20 ± 16.79,74.30 ± 37.78
8,324,32.79 ± 22.24,32.97 ± 18.39,30.68 ± 15.84,31.60 ± 15.83,78.08 ± 40.81
9,278,30.83 ± 15.46,31.56 ± 14.81,31.00 ± 18.76,31.50 ± 16.91,76.23 ± 34.53
10,207,34.70 ± 32.49,34.15 ± 18.17,31.26 ± 15.70,32.41 ± 16.51,81.56 ± 47.57
11,145,35.39 ± 21.75,35.88 ± 18.75,33.79 ± 18.88,34.84 ± 18.75,89.21 ± 40.95
12,93,37.96 ± 43.63,35.67 ± 20.41,34.82 ± 16.12,36.22 ± 17.21,90.51 ± 57.31
13,87,35.03 ± 15.43,36.40 ± 16.72,30.89 ± 13.37,31.94 ± 14.12,81.91 ± 28.87
14,63,35.68 ± 16.63,36.97 ± 17.66,36.17 ± 18.90,37.57 ± 19.85,91.48 ± 35.18
15,38,34.79 ± 12.45,36.13 ± 12.63,32.24 ± 19.05,32.66 ± 16.45,82.16 ± 34.74
16,24,32.46 ± 15.95,33.79 ± 17.17,45.96 ± 38.13,42.79 ± 21.27,100.29 ± 56.42
17,14,32.64 ± 17.48,33.86 ± 18.88,38.93 ± 21.23,39.93 ± 21.77,90.43 ± 38.87
18,14,44.57 ± 36.75,41.93 ± 24.21,62.86 ± 36.86,59.14 ± 27.59,142.79 ± 62.08
19,6,41.67 ± 27.90,42.67 ± 28.61,47.83 ± 28.83,48.83 ± 28.52,134.50 ± 32.09
20,7,40.00 ± 14.58,41.86 ± 15.50,41.57 ± 16.56,43.43 ± 17.69,87.43 ± 36.41
21,3,35.33 ± 16.80,36.67 ± 17.24,66.00 ± 25.06,69.00 ± 23.52,130.67 ± 39.07
22,1,18.00 ± 0.00,18.00 ± 0.00,69.00 ± 0.00,72.00 ± 0.00,139.00 ± 0.00
23,3,32.00 ± 14.42,33.33 ± 15.95,71.67 ± 38.68,74.00 ± 39.00,153.67 ± 50.81
24,2,68.50 ± 67.18,63.00 ± 59.40,58.50 ± 50.20,61.00 ± 52.33,202.00 ± 22.63
26,1,44.00 ± 0.00,51.00 ± 0.00,42.00 ± 0.00,41.00 ± 0.00,107.00 ± 0.00
Total,5000,30.38 ± 20.72,30.79 ± 16.74,29.99 ± 17.44,30.69 ± 16.42,73.75 ± 39.52
