number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,240,26.43 ± 11.02,28.56 ± 12.52,27.70 ± 13.76,29.70 ± 15.29,66.91 ± 27.86
1,342,25.02 ± 11.54,26.80 ± 12.90,31.07 ± 14.61,33.30 ± 16.14,71.21 ± 31.11
2,428,28.29 ± 13.42,30.53 ± 14.76,28.48 ± 13.11,30.78 ± 14.64,69.72 ± 29.86
3,540,25.80 ± 10.80,27.90 ± 12.27,31.05 ± 14.62,33.65 ± 16.34,72.29 ± 30.59
4,529,27.78 ± 13.10,30.04 ± 14.31,27.71 ± 11.53,29.79 ± 12.81,67.54 ± 29.34
5,511,25.51 ± 9.78,27.56 ± 10.77,31.27 ± 14.08,33.87 ± 15.48,71.24 ± 29.05
6,478,28.81 ± 12.37,31.30 ± 13.76,30.42 ± 13.71,32.92 ± 15.12,74.04 ± 30.35
7,460,27.34 ± 11.37,29.57 ± 12.52,31.54 ± 13.11,34.23 ± 14.49,73.25 ± 28.65
8,368,30.83 ± 13.48,33.60 ± 14.91,30.64 ± 13.30,33.25 ± 14.77,76.89 ± 29.94
9,320,27.20 ± 10.75,29.50 ± 12.07,34.09 ± 14.99,37.00 ± 16.21,77.83 ± 30.01
10,226,31.33 ± 13.45,33.98 ± 14.81,33.24 ± 15.30,36.19 ± 16.99,81.83 ± 33.12
11,169,29.34 ± 13.23,31.80 ± 14.30,36.07 ± 14.44,39.25 ± 15.68,83.99 ± 30.62
12,116,32.50 ± 14.79,35.62 ± 16.29,32.51 ± 14.24,35.19 ± 15.24,82.19 ± 32.30
13,95,29.28 ± 13.01,31.91 ± 14.36,38.69 ± 16.45,41.97 ± 17.74,90.03 ± 33.17
14,60,33.77 ± 15.83,36.60 ± 17.46,36.13 ± 14.07,39.12 ± 15.46,88.40 ± 31.83
15,44,32.55 ± 18.68,35.84 ± 20.87,43.30 ± 18.71,47.05 ± 19.88,102.30 ± 42.10
16,23,35.57 ± 20.19,38.96 ± 22.76,39.87 ± 18.10,44.22 ± 20.51,101.87 ± 42.25
17,24,27.33 ± 10.78,29.79 ± 11.73,45.67 ± 21.12,49.58 ± 22.95,105.62 ± 37.16
18,8,28.50 ± 8.59,31.00 ± 9.12,44.50 ± 22.56,48.75 ± 24.08,97.75 ± 39.01
19,5,38.80 ± 33.72,41.60 ± 33.83,61.40 ± 27.64,69.80 ± 33.64,155.80 ± 47.97
20,5,30.40 ± 17.10,32.80 ± 17.17,47.00 ± 20.57,49.80 ± 21.88,108.60 ± 31.30
21,2,42.00 ± 5.66,46.00 ± 8.49,69.00 ± 22.63,75.50 ± 19.09,146.50 ± 41.72
22,4,47.25 ± 23.70,51.00 ± 26.04,58.25 ± 33.21,65.00 ± 38.96,161.75 ± 26.02
24,1,26.00 ± 0.00,28.00 ± 0.00,66.00 ± 0.00,78.00 ± 0.00,148.00 ± 0.00
32,2,52.50 ± 20.51,57.50 ± 23.33,49.50 ± 28.99,54.50 ± 30.41,146.00 ± 2.83
Total,5000,27.91 ± 12.46,30.23 ± 13.81,31.34 ± 14.37,33.92 ± 15.88,74.53 ± 31.28
