number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,200,24.49 ± 10.95,26.43 ± 12.28,26.14 ± 13.15,27.95 ± 14.41,63.58 ± 25.39
1,351,23.92 ± 11.73,25.47 ± 13.08,33.06 ± 17.30,35.66 ± 19.28,77.17 ± 34.17
2,366,26.98 ± 12.79,29.11 ± 14.29,28.03 ± 14.25,30.21 ± 16.31,70.08 ± 31.99
3,447,23.93 ± 10.75,25.77 ± 11.91,32.85 ± 15.35,35.63 ± 17.13,73.60 ± 32.29
4,426,28.48 ± 13.74,30.88 ± 15.26,28.62 ± 13.95,30.91 ± 15.40,71.74 ± 33.12
5,417,25.47 ± 10.71,27.53 ± 11.92,31.98 ± 15.17,34.53 ± 16.70,73.33 ± 31.15
6,427,28.97 ± 13.59,31.48 ± 14.98,28.43 ± 12.02,30.72 ± 13.25,71.08 ± 29.93
7,451,26.82 ± 10.84,29.05 ± 12.17,31.53 ± 12.44,34.18 ± 13.68,71.88 ± 27.51
8,362,29.05 ± 11.48,31.53 ± 12.64,30.34 ± 12.75,32.74 ± 14.08,72.41 ± 28.67
9,347,28.36 ± 11.45,30.76 ± 12.59,32.01 ± 14.92,34.77 ± 16.33,74.70 ± 32.18
10,289,31.18 ± 13.68,33.76 ± 14.92,32.29 ± 14.21,35.15 ± 15.42,78.11 ± 32.25
11,241,28.45 ± 10.61,30.93 ± 11.72,32.41 ± 12.90,35.12 ± 14.12,74.93 ± 27.11
12,168,31.15 ± 11.18,34.04 ± 12.79,32.79 ± 14.30,35.73 ± 15.74,78.86 ± 30.44
13,148,28.51 ± 9.34,31.05 ± 10.35,36.05 ± 13.76,39.16 ± 15.20,80.41 ± 26.94
14,114,34.02 ± 14.23,36.88 ± 15.19,33.70 ± 15.41,36.34 ± 16.51,86.04 ± 33.54
15,56,32.05 ± 13.40,34.89 ± 14.58,35.32 ± 13.65,38.30 ± 15.12,86.05 ± 29.63
16,59,35.46 ± 12.24,38.86 ± 13.62,36.08 ± 14.62,39.22 ± 16.07,89.27 ± 28.62
17,45,32.44 ± 12.51,35.42 ± 13.97,35.82 ± 11.63,38.89 ± 12.65,85.98 ± 25.43
18,35,40.89 ± 17.27,44.83 ± 18.96,38.03 ± 16.19,41.69 ± 17.42,99.54 ± 37.19
19,17,39.53 ± 15.95,43.59 ± 16.98,41.12 ± 15.99,44.71 ± 17.15,92.71 ± 32.46
20,11,36.09 ± 11.95,39.73 ± 13.21,37.09 ± 13.08,40.27 ± 13.88,89.91 ± 28.22
21,9,44.89 ± 18.15,48.78 ± 19.13,45.44 ± 21.57,49.67 ± 23.01,121.56 ± 40.12
22,7,44.71 ± 27.84,48.14 ± 30.61,32.43 ± 6.13,36.43 ± 7.32,100.43 ± 48.16
24,2,53.50 ± 16.26,58.00 ± 15.56,34.00 ± 4.24,37.00 ± 4.24,113.00 ± 32.53
25,3,49.67 ± 36.69,53.67 ± 38.42,49.33 ± 10.02,53.67 ± 9.07,137.00 ± 45.40
26,1,43.00 ± 0.00,47.00 ± 0.00,30.00 ± 0.00,33.00 ± 0.00,90.00 ± 0.00
28,1,68.00 ± 0.00,71.00 ± 0.00,64.00 ± 0.00,69.00 ± 0.00,140.00 ± 0.00
Total,5000,27.91 ± 12.46,30.23 ± 13.81,31.34 ± 14.37,33.92 ± 15.88,74.53 ± 31.28
