number_of_flips,count,nodes_start,edges_start,nodes_target,edges_target,Average GED
0,1888,29.13 ± 11.81,31.56 ± 13.05,33.08 ± 14.06,35.80 ± 15.52,76.25 ± 29.63
1,1177,26.92 ± 11.49,29.14 ± 12.69,31.38 ± 14.82,33.98 ± 16.62,74.48 ± 31.60
2,436,26.72 ± 10.63,28.75 ± 11.70,29.90 ± 14.03,32.53 ± 15.62,70.14 ± 29.50
3,519,26.88 ± 11.83,29.03 ± 13.03,30.74 ± 13.82,33.37 ± 15.48,73.11 ± 30.15
4,269,27.61 ± 12.36,29.94 ± 13.70,30.83 ± 14.17,33.22 ± 15.35,73.59 ± 31.49
5,274,26.29 ± 12.51,28.22 ± 13.93,32.04 ± 15.39,34.67 ± 16.77,74.97 ± 33.33
6,128,26.38 ± 10.04,28.62 ± 11.46,30.32 ± 16.15,32.41 ± 17.29,71.70 ± 31.44
7,124,29.31 ± 13.04,31.79 ± 14.45,31.50 ± 16.97,33.61 ± 17.95,79.22 ± 33.78
8,55,29.56 ± 17.52,31.78 ± 18.47,30.47 ± 13.83,32.78 ± 15.00,76.80 ± 36.14
9,57,31.18 ± 20.15,33.79 ± 21.90,38.00 ± 22.79,40.95 ± 24.50,96.54 ± 50.33
10,23,29.78 ± 9.03,32.35 ± 10.53,32.22 ± 17.23,34.57 ± 17.53,76.00 ± 34.08
11,24,33.25 ± 16.35,36.38 ± 18.01,31.25 ± 15.03,33.54 ± 16.24,88.21 ± 31.22
12,14,30.21 ± 17.79,32.07 ± 19.03,44.29 ± 24.71,48.14 ± 26.59,108.57 ± 46.65
13,5,50.20 ± 25.26,53.40 ± 26.92,36.40 ± 30.45,39.60 ± 32.19,132.40 ± 51.54
14,2,31.00 ± 5.66,32.50 ± 3.54,19.00 ± 1.41,20.50 ± 3.54,65.00 ± 8.49
15,1,22.00 ± 0.00,24.00 ± 0.00,36.00 ± 0.00,37.00 ± 0.00,71.00 ± 0.00
16,1,21.00 ± 0.00,22.00 ± 0.00,91.00 ± 0.00,97.00 ± 0.00,179.00 ± 0.00
19,2,31.50 ± 17.68,34.00 ± 21.21,54.50 ± 30.41,60.00 ± 32.53,109.00 ± 62.23
25,1,107.00 ± 0.00,112.00 ± 0.00,8.00 ± 0.00,8.00 ± 0.00,216.00 ± 0.00
Total,5000,27.95 ± 12.07,30.23 ± 13.32,31.93 ± 14.72,34.55 ± 16.24,75.21 ± 31.42
