dataset,model,train_loss,test_acc
Mutagenicity,GIN,0.07255502989720725,0.8317972350230415
Mutagenicity,GCN,0.19518238767434698,0.8191244239631337
Mutagenicity,GAT,0.17189945260045725,0.8168202764976958
DHFR,GIN,0.10601038652423181,0.8618421052631579
DHFR,GCN,0.3337132946441048,0.756578947368421
DHFR,GAT,0.2803848205428374,0.7763157894736842
NCI1,GIN,0.08275831524210359,0.8467153284671532
NCI1,GCN,0.29474687489491064,0.7883211678832117
NCI1,GAT,0.25851875297652865,0.7664233576642335
NCI109,GIN,0.06024543101151581,0.8196125907990315
NCI109,GCN,0.31002894015266347,0.7699757869249395
NCI109,GAT,0.25113735899615747,0.7542372881355932
IMDB-BINARY,GIN,0.5429614615440369,0.705
IMDB-BINARY,GCN,0.6516074419021607,0.61
IMDB-BINARY,GAT,0.6930111598968506,0.465
IMDB-MULTI,GIN,1.0281384038297754,0.5233333333333333
IMDB-MULTI,GCN,1.0827717216391313,0.43666666666666665
IMDB-MULTI,GAT,1.098341348924135,0.3
